949575703, client_big_img.txt,,,,,,,,,,,,,,,
949596500, client_big_txt_2.txt,,,,,,,,,,,,,,,
949616546, client_med_img_2.txt,,,,,,,,,,,,,,,
949636687, client_med_txt_3.txt,,,,,,,,,,,,,,,
949656796, client_small_img_2.txt,,,,,,,,,,,,,,,
949676906, client_small_txt_1.txt,,,,,,,,,,,,,,,
949697000, client_var_big_img.txt,,,,,,,,,,,,,,,
950111949,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.983333333,5,1,,,,,,,,,,,,
950114061,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.984,5,1,,,,,,,,,,,,
950116157,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.982666667,5,1,,,,,,,,,,,,
950118265,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.984,5,1,,,,,,,,,,,,
950118812, client_med_txt_3.txt,,,,,,,,,,,,,,,
950120410,[[0.0000e+00 1.0309e+04 1.0000e-10]],0.985882353,6,1,,,,,,,,,,,,
950122508,[[0.0000e+00 1.0309e+04 1.0000e-10]],0.990526316,6,3,,,,,,,,,,,,
950124631,[[0.000e+00 4.051e+03 1.000e-10]],0.859375,4,1,,,,,,,,,,,,
950126758,[[0.0000e+00 1.0309e+04 1.0000e-10]],0.985,6,3,,,,,,,,,,,,
950128957,[[0.000e+00 4.051e+03 1.000e-10]],0.87,4,1,,,,,,,,,,,,
950131131,[[0.0000e+00 1.0309e+04 1.0000e-10]],0.986111111,6,3,,,,,,,,,,,,
950133407,[[0.000e+00 4.051e+03 1.000e-10]],0.82875,4,1,,,,,,,,,,,,
950135647,[[0.0000e+00 1.0309e+04 1.0000e-10]],0.981666667,6,3,,,,,,,,,,,,
950137877,[[0.000e+00 4.051e+03 1.000e-10]],0.846,4,1,,,,,,,,,,,,
950138875, client_small_img_2.txt,,,,,,,,,,,,,,,
950140052,[[2.38080000e+04 1.03090000e+04 7.87126586e-01]],0.98,0,0,,,,,,,,,,,,
950142312,[[2.3808e+04 0.0000e+00 1.0000e-10]],0.941875,0,3,,,,,,,,,,,,
950144534,[[2.3644e+04 0.0000e+00 1.0000e-10]],0.57,0,1,,,,,,,,,,,,
950146750,[[2.3808e+04 0.0000e+00 1.0000e-10]],0.977647059,0,0,,,,,,,,,,,,
950148902,[[2.3808e+04 0.0000e+00 1.0000e-10]],0.943125,0,1,,,,,,,,,,,,
950151098,[[2.3808e+04 0.0000e+00 1.0000e-10]],0.980588235,0,0,,,,,,,,,,,,
950153356,[[2.3808e+04 0.0000e+00 1.0000e-10]],0.9225,0,2,,,,,,,,,,,,
950155643,[[2.3644e+04 0.0000e+00 1.0000e-10]],0.951875,0,1,,,,,,,,,,,,
950157755,[[2.3808e+04 0.0000e+00 1.0000e-10]],0.983888889,0,2,,,,,,,,,,,,
950158937, client_small_txt_1.txt,,,,,,,,,,,,,,,
950159972,[[2.36440000e+04 5.84000000e+02 8.73981048e-01]],0.960588235,0,0,,,,,,,,,,,,
950162154,[[0.00e+00 9.18e+02 1.00e-10]],0.966470588,2,2,,,,,,,,,,,,
950164484,[[0.00e+00 5.84e+02 1.00e-10]],0.982941176,2,3,,,,,,,,,,,,
950166618,[[0.00e+00 5.84e+02 1.00e-10]],0.92875,2,1,,,,,,,,,,,,
950168855,[[0.00e+00 9.18e+02 1.00e-10]],0.987058824,2,0,,,,,,,,,,,,
950171011,[[0.00e+00 9.18e+02 1.00e-10]],0.965,2,2,,,,,,,,,,,,
950173178,[[0.00e+00 5.84e+02 1.00e-10]],0.987777778,2,1,,,,,,,,,,,,
950175383,[[0.00e+00 9.18e+02 1.00e-10]],0.994444444,2,3,,,,,,,,,,,,
950177598,[[0.00e+00 5.84e+02 1.00e-10]],0.963529412,2,0,,,,,,,,,,,,
950179000, client_var_big_img.txt,,,,,,,,,,,,,,,
950179765,[[3.27675700e+06 9.18000000e+02 1.25771482e+00]],0.628235294,7,1,,,,,,,,,,,,
950181917,[[3.276757e+06 0.000000e+00 1.000000e+00]],0,7,2,,,,,,,,,,,,
950186591,[[3.272814e+06 0.000000e+00 1.000000e-10]],0,7,3,,,,,,,,,,,,
950191089,[[3.272815e+06 0.000000e+00 1.000000e-10]],0,7,0,,,,,,,,,,,,
950193321,[[3.2767570e+06 0.0000000e+00 2.5849625e+00]],0,7,1,,,,,,,,,,,,
950195565,[[3.276757e+06 0.000000e+00 1.000000e+00]],0,7,0,,,,,,,,,,,,
950198199,[[3.27675700e+06 0.00000000e+00 2.32192809e+00]],0,7,2,,,,,,,,,,,,
950201250, client_var_big_txt.txt,,,,,,,,,,,,,,,
950202436,[[3.272814e+06 1.197100e+04 3.169925e+00]],0,7,3,,,,,,,,,,,,
950204685,[[0.00000000e+00 1.19720000e+04 3.32192809e+00]],0.257,6,2,,,,,,,,,,,,
950206959,[[0.00000000e+00 1.19712727e+04 3.45943162e+00]],0.287272727,6,0,,,,,,,,,,,,
950209158,[[0.00000000e+00 8.26280000e+04 4.05881389e+00]],0.888888889,8,2,,,,,,,,,,,,
950211311,[[0.00000000e+00 1.19718182e+04 3.45943162e+00]],0.379090909,6,0,,,,,,,,,,,,
950213442,[[0.0000e+00 8.2628e+04 4.0000e+00]],0.8775,8,2,,,,,,,,,,,,
950215692,[[0.00000000e+00 1.19711000e+04 3.32192809e+00]],0.218,6,0,,,,,,,,,,,,
950217831,[[0.0000e+00 8.2628e+04 4.0000e+00]],0.875625,8,2,,,,,,,,,,,,
950220077,[[0.00000000e+00 1.19719000e+04 3.32192809e+00]],0.165,6,0,,,,,,,,,,,,
950221296, client_var_med_img.txt,,,,,,,,,,,,,,,
950222253,[[8.4760000e+04 8.2628000e+04 3.9068906e+00]],0.86,5,2,,,,,,,,,,,,
950224422,[[6.697300e+04 0.000000e+00 3.169925e+00]],0,3,0,,,,,,,,,,,,
950226619,[[8.476e+04 0.000e+00 4.000e+00]],0.86625,3,1,,,,,,,,,,,,
950228865,[[8.47600000e+04 0.00000000e+00 3.80735492e+00]],0.614285714,3,0,,,,,,,,,,,,
950230981,[[8.476e+04 0.000e+00 4.000e+00]],0.879375,3,0,,,,,,,,,,,,
950233072,[[8.476e+04 0.000e+00 4.000e+00]],0.88,3,3,,,,,,,,,,,,
950235246,[[6.69724000e+04 0.00000000e+00 3.32192809e+00]],0.146,3,0,,,,,,,,,,,,
950237404,[[8.476e+04 0.000e+00 4.000e+00]],0.8725,3,1,,,,,,,,,,,,
950239647,[[8.47600000e+04 0.00000000e+00 3.70043972e+00]],0.633076923,3,0,,,,,,,,,,,,
950241437, client_var_med_txt.txt,,,,,,,,,,,,,,,
950241788,[[8.476e+04 3.869e+03 4.000e+00]],0.905,3,0,,,,,,,,,,,,
950243882,[[   0.         3869.            4.05881389]],0.961666667,4,1,,,,,,,,,,,,
950246003,[[   0. 3869.    4.]],0.95625,4,1,,,,,,,,,,,,
950248170,[[   0.       3869.          4.169925]],0.981111111,4,1,,,,,,,,,,,,
950250280,[[   0.         3869.            4.05881389]],0.990555556,4,0,,,,,,,,,,,,
950252420,[[   0.         3869.            3.96981578]],0.962352941,4,1,,,,,,,,,,,,
950254638,[[   0.         3869.            3.96981578]],0.955882353,4,0,,,,,,,,,,,,
950256773,[[   0. 3869.    4.]],0.96,4,1,,,,,,,,,,,,
950258994,[[   0. 3869.    4.]],0.956875,4,0,,,,,,,,,,,,
950261147,[[   0.    3869.       3.875]],0.95875,4,1,,,,,,,,,,,,
950261500, client_var_small_img_1.txt,,,,,,,,,,,,,,,
950263374,[[2.9687000e+04 0.0000000e+00 3.9068906e+00]],0.834666667,0,0,,,,,,,,,,,,
950265563,[[2.9687e+04 0.0000e+00 4.0000e+00]],0.935,0,2,,,,,,,,,,,,
950267762,[[2.96853077e+04 0.00000000e+00 3.70043972e+00]],0.612307692,0,0,,,,,,,,,,,,
950270043,[[2.9687e+04 0.0000e+00 4.0000e+00]],0.931875,0,3,,,,,,,,,,,,
950272248,[[2.9686000e+04 0.0000000e+00 3.5849625e+00]],0.5675,0,1,,,,,,,,,,,,
950274502,[[2.9687000e+04 0.0000000e+00 3.9068906e+00]],0.814666667,0,0,,,,,,,,,,,,
950276631,[[2.9687e+04 0.0000e+00 4.0000e+00]],0.934375,0,1,,,,,,,,,,,,
950278799,[[2.96870000e+04 0.00000000e+00 3.77355726e+00]],0.859333333,0,0,,,,,,,,,,,,
950280976,[[2.9687e+04 0.0000e+00 4.0000e+00]],0.943125,0,2,,,,,,,,,,,,
950281546, client_var_small_txt.txt,,,,,,,,,,,,,,,
950283156,[[  0.     108.4375   4.    ]],0.939375,1,0,,,,,,,,,,,,
950285352,[[ 0.         71.          3.96981578]],0.955882353,1,1,,,,,,,,,,,,
950287560,[[ 0.    71.     3.875]],0.964375,1,3,,,,,,,,,,,,
950289849,[[  0.     108.4375   4.    ]],0.94,1,1,,,,,,,,,,,,
950291950,[[ 0.         71.          4.08746284]],0.963529412,1,0,,,,,,,,,,,,
