time,workload,reward,category,action,,,,,,
522025668,[[0.00e+00 9.18e+02 1.00e-10]],0.9911111111111112,1,2,,,,,,
522027742,[[0.00e+00 5.84e+02 1.00e-10]],0.9888888888888889,1,0,,,,,,
522029834,[[0.00e+00 9.18e+02 1.00e-10]],0.9670588235294117,1,1,,,,,,
522031974,[[0.00e+00 9.18e+02 1.00e-10]],0.9882352941176471,1,3,,,,,,
522032234, client_var_big_img.txt,,,,,,,,,
522034207,[[3.272814e+06 0.000000e+00 1.000000e+00]],0,3,0,,,,,,
522036451,[[3.27675700e+06 0.00000000e+00 3.32192809e+00]],0.16599999999999993,3,1,,,,,,
522038556,[[3.27675700e+06 0.00000000e+00 2.32192809e+00]],0,3,2,,,,,,
522040864,[[3.272814e+06 0.000000e+00 1.000000e+00]],0,3,3,,,,,,
522043763,[[3.272814e+06 0.000000e+00 1.000000e+00]],0,3,0,,,,,,
522046021,[[3.27675700e+06 0.00000000e+00 3.32192809e+00]],0.14300000000000002,3,1,,,,,,
522048194,[[3.27675700e+06 0.00000000e+00 2.32192809e+00]],0,3,2,,,,,,
522050452,[[3.272814e+06 0.000000e+00 1.000000e-10]],0,3,3,,,,,,
522052484, client_var_med_img.txt,,,,,,,,,
522052531,[[1.669893e+06 0.000000e+00 2.000000e+00]],0,2,0,,,,,,
522054688,[[8.476e+04 0.000e+00 4.000e+00]],0.89375,0,2,,,,,,
522056772,[[6.69727692e+04 0.00000000e+00 3.70043972e+00]],0.5584615384615385,0,1,,,,,,
522058904,[[8.47600000e+04 0.00000000e+00 3.80735492e+00]],0.7871428571428571,0,0,,,,,,
522061055,[[8.476e+04 0.000e+00 4.000e+00]],0.89625,0,1,,,,,,
522063174,[[8.47600000e+04 0.00000000e+00 3.80735492e+00]],0.7735714285714286,0,3,,,,,,
522065336,[[6.69726923e+04 0.00000000e+00 3.70043972e+00]],0.6438461538461538,0,0,,,,,,
522067362,[[8.476e+04 0.000e+00 4.000e+00]],0.89375,0,2,,,,,,
522069445,[[6.6972750e+04 0.0000000e+00 3.5849625e+00]],0.5083333333333333,0,1,,,,,,
522071617,[[8.476e+04 0.000e+00 4.000e+00]],0.84875,0,0,,,,,,
